"","Year","MOR","NOR","NSW","PP","VDL","WA","Female","Male","England","Ireland","Overseas","Protesters","Nonprotesters"
"1","1788",0,0,1010,0,0,0,417,593,1010,0,0,0,1010
"2","1789",0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1790",0,0,1017,0,0,0,78,939,1017,0,0,0,1017
"4","1791",0,0,2041,0,0,0,172,1869,1886,155,0,160,1881
"5","1792",0,0,798,0,0,0,137,661,798,0,0,0,798
"6","1793",0,0,322,0,0,0,87,235,17,305,0,0,322
"7","1794",0,0,84,0,0,0,61,23,84,0,0,0,84
"8","1795",0,0,1,0,0,0,0,1,1,0,0,5,-4
"9","1796",0,0,366,0,0,0,203,163,133,233,0,0,366
"10","1797",0,0,391,0,0,0,44,347,203,188,0,0,391
"11","1798",0,0,392,0,0,0,96,296,392,0,0,0,392
"12","1799",0,0,300,0,0,0,0,300,300,0,0,0,300
"13","1800",0,0,677,0,0,0,79,598,353,324,0,134,543
"14","1801",0,0,763,0,0,0,215,548,592,171,0,117,646
"15","1802",0,0,803,0,0,0,53,750,251,552,0,61,742
"16","1803",0,0,565,0,0,0,167,398,401,164,0,0,565
"17","1804",0,0,338,0,0,0,136,202,338,0,0,0,338
"18","1806",0,0,589,0,0,0,198,391,260,287,0,5,584
"19","1807",0,0,306,0,0,0,113,193,117,0,0,0,306
"20","1808",0,0,299,0,0,0,99,200,299,0,0,0,299
"21","1809",0,0,340,0,0,0,201,139,62,199,0,0,340
"22","1810",0,0,522,0,0,0,122,400,322,0,0,0,522
"23","1811",0,0,481,0,0,0,141,340,481,0,0,0,481
"24","1812",0,0,367,0,200,0,167,400,527,0,0,6,561
"25","1813",0,0,602,0,0,0,54,548,401,201,0,32,570
"26","1814",0,0,1257,0,0,0,338,919,1257,0,0,0,1257
"27","1815",0,0,1093,0,0,0,179,914,810,283,0,502,591
"28","1816",0,0,1453,0,0,0,187,1266,668,462,0,4,1449
"29","1817",0,0,1862,0,0,0,192,1670,1454,408,0,9,1853
